Layer,Analyte,Thickness plasmonics nm,Thicknes analyte nm,Core Diameter nm,Wavelength,Core Real,Core Imaginary,Confinement Loss
pt,1.4242,30,940,3000,1550,1.431777246,5.99E-05,21.07383709
pt,1.4242,30,940,3000,1600,1.430309668,4.12E-05,14.064438
pt,1.4242,30,940,3000,1650,1.428831845,3.38E-05,11.16711936
pt,1.4242,30,940,3000,1700,1.427333091,3.24E-05,10.38806976
ni,1.4174,30,940,3000,1000,1.445149958,2.30E-04,125.4282214
ni,1.4174,30,940,3000,1050,1.443978503,1.90E-04,98.94979347
ni,1.4174,30,940,3000,1100,1.44280148,1.69E-04,83.79409396
ni,1.4174,30,940,3000,1150,1.441616661,1.58E-04,75.189542
ni,1.4174,30,940,3000,1200,1.440420034,1.55E-04,70.48971715
ni,1.4174,30,940,3000,1250,1.43920749,1.56E-04,68.24927962
ni,1.4174,30,940,3000,1300,1.43797608,1.61E-04,67.55743718
ni,1.4174,30,940,3000,1350,1.436723097,1.67E-04,67.58702389
ni,1.4174,30,940,3000,1400,1.435444974,1.74E-04,67.83348488
ni,1.4174,30,940,3000,1450,1.43413845,1.82E-04,68.44044441
ni,1.4174,30,940,3000,1500,1.432801789,1.92E-04,69.97653702
ni,1.4174,30,940,3000,1550,1.431434736,2.07E-04,72.93535656
ni,1.4174,30,940,3000,1600,1.430038566,2.27E-04,77.35852486
ni,1.4174,30,940,3000,1650,1.431434738,2.08E-04,71.93535656
ni,1.4174,30,940,3000,1700,1.430038588,2.37E-04,70.35852486
ni,1.4242,30,940,3000,1000,1.445316284,3.56E-04,194.3615066
ni,1.4242,30,940,3000,1050,1.444135483,2.55E-04,132.7783218
ni,1.4242,30,940,3000,1100,1.442945254,2.02E-04,100.2195765
ni,1.4242,30,940,3000,1150,1.441750258,1.73E-04,82.18586915
ni,1.4242,30,940,3000,1200,1.440546813,1.58E-04,71.80712973
ni,1.4242,30,940,3000,1250,1.439329963,1.51E-04,65.71950576
ni,1.4242,30,940,3000,1300,1.438095928,1.48E-04,62.18776876
ni,1.4242,30,940,3000,1350,1.436841523,1.49E-04,60.03887991
ni,1.4242,30,940,3000,1400,1.435563128,1.50E-04,58.49066081
ni,1.4242,30,940,3000,1450,1.434257403,1.52E-04,57.36792905
ni,1.4242,30,940,3000,1500,1.432922064,1.57E-04,56.95653656
ni,1.4242,30,940,3000,1550,1.431555912,1.63E-04,57.56531209
ni,1.4242,30,940,3000,1600,1.430159025,1.74E-04,59.28224775
ni,1.4242,30,940,3000,1650,1.431555918,1.83E-04,60.56531209
ni,1.4242,30,940,3000,1700,1.430178025,1.94E-04,61.28224775
